,id,ori_path,adv_path,audibility2
179341,7729-102255-0004-i5,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/7729/102255/7729-102255-0004.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_7729-102255-0004_adv_x/wav_x_adv_i5_0.05327248706618302.wav,0.05327248706618302
179721,672-122797-0061-i5,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/672/122797/672-122797-0061.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_672-122797-0061_adv_x/wav_x_adv_i5_0.033471502492859635.wav,0.033471502492859635
181617,2094-142345-0015-i12,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/2094/142345/2094-142345-0015.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_2094-142345-0015_adv_x/wav_x_adv_i12_0.03704825338996646.wav,0.03704825338996646
182119,1580-141084-0049-i3,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1580/141084/1580-141084-0049.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1580-141084-0049_adv_x/wav_x_adv_i3_0.043273432482284935.wav,0.043273432482284935
182841,2094-142345-0017-i2,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/2094/142345/2094-142345-0017.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_2094-142345-0017_adv_x/wav_x_adv_i2_0.03927127648027395.wav,0.03927127648027395
183380,5142-36377-0001-i1,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/5142/36377/5142-36377-0001.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_5142-36377-0001_adv_x/wav_x_adv_i1_0.03472708948315764.wav,0.03472708948315764
184299,2300-131720-0022-i4,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/2300/131720/2300-131720-0022.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_2300-131720-0022_adv_x/wav_x_adv_i4_0.03728958721924423.wav,0.03728958721924423
185605,2094-142345-0060-i2,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/2094/142345/2094-142345-0060.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_2094-142345-0060_adv_x/wav_x_adv_i2_0.05556691730482797.wav,0.05556691730482797
188313,1089-134691-0008-i4,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1089/134691/1089-134691-0008.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1089-134691-0008_adv_x/wav_x_adv_i4_0.06013416663296383.wav,0.06013416663296383
191808,4446-2271-0008-i1,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/4446/2271/4446-2271-0008.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_4446-2271-0008_adv_x/wav_x_adv_i1_0.06209207358153265.wav,0.06209207358153265
